"Hold - Foster Stage Date","",""
"Animal #","Stage","Stage Start Date"
"Count","Count","Count"
"A0058959624","Hold - Foster","7/28/2025 01:59 PM"
"A0059019082","Hold - Foster","7/31/2025 03:59 PM"
"A0058999689","Hold - Foster","8/1/2025 04:31 PM"
"A0059010863","Hold - Foster","8/2/2025 10:23 AM"
"A0059024937","Hold - Foster","8/1/2025 10:30 AM"
"A0058983806","Hold - Foster","7/27/2025 10:41 AM"
"A0058983802","Hold - Foster","7/27/2025 10:34 AM"
"A0059000884","Hold - Foster","7/31/2025 09:02 AM"
"A0059000897","Hold - Foster","7/31/2025 09:02 AM"
"A0059032220","Hold - Foster","8/2/2025 01:01 PM"
"A0058992634","Hold - Foster","8/1/2025 09:14 AM"
"A0058212987","Hold - Foster","7/31/2025 10:44 AM"
"A0058972965","Hold - Foster","7/24/2025 02:09 PM"
"A0059032242","Hold - Foster","8/2/2025 12:59 PM"
"A0059010853","Hold - Foster","8/2/2025 10:22 AM"
"A0059012565","Hold - Foster","7/30/2025 05:08 PM"
"A0058982440","Hold - Foster","7/25/2025 04:55 PM"
"A0058994363","Hold - Foster","7/28/2025 01:18 PM"
"A0059003767","Hold - Foster","8/1/2025 09:11 AM"
"A0059003770","Hold - Foster","8/1/2025 09:13 AM"
"A0058999711","Hold - Foster","8/1/2025 04:24 PM"
"A0058982457","Hold - Foster","7/25/2025 05:03 PM"
"A0058973012","Hold - Foster","7/24/2025 02:08 PM"
"A0058999707","Hold - Foster","8/1/2025 04:26 PM"
"A0059012579","Hold - Foster","7/30/2025 05:11 PM"
"A0058983789","Hold - Foster","7/27/2025 10:39 AM"
"A0059019080","Hold - Foster","7/31/2025 04:06 PM"
"A0058679141","Hold - Foster","8/1/2025 09:19 AM"
"A0058999744","Hold - Foster","8/1/2025 04:23 PM"
"A0058999754","Hold - Foster","8/1/2025 04:31 PM"
"A0058999750","Hold - Foster","8/1/2025 04:23 PM"
"A0058999683","Hold - Foster","8/1/2025 04:31 PM"
"A0058994460","Hold - Foster","7/28/2025 01:16 PM"
"A0058983813","Hold - Foster","7/27/2025 10:42 AM"
"A0058973036","Hold - Foster","7/24/2025 02:15 PM"
"A0058972994","Hold - Foster","7/24/2025 02:13 PM"
"A0058972970","Hold - Foster","7/24/2025 02:06 PM"
"A0058972982","Hold - Foster","7/24/2025 02:10 PM"
"A0059012537","Hold - Foster","7/30/2025 04:54 PM"
"A0058834486","Hold - Cruelty Foster","7/10/2025 10:10 AM"
"A0059000887","Hold - Foster","7/31/2025 09:01 AM"
"A0059003765","Hold - Foster","8/1/2025 09:12 AM"
"A0059024547","Hold - Foster","8/1/2025 10:10 AM"
"A0058983772","Hold - Foster","7/27/2025 10:29 AM"
"A0058959452","Hold - Foster","8/1/2025 09:10 AM"
"A0059026617","Hold - Foster","8/1/2025 05:28 PM"
"A0058940364","Hold - Foster","7/30/2025 05:25 PM"
"A0059020773","Hold - Foster","8/1/2025 09:15 AM"
"A0058994462","Hold - Foster","7/28/2025 01:13 PM"
"A0059032246","Hold - Foster","8/2/2025 01:03 PM"
"A0058999677","Hold - Foster","8/1/2025 04:29 PM"
"A0058605268","Hold – SAFE Foster","7/25/2025 04:08 PM"
"A0058994442","Hold - Foster","7/28/2025 01:20 PM"
"A0059012575","Hold - Foster","7/30/2025 04:58 PM"
