Name,AID,Species,Location ,Intake Date,Days in System,Foster Attempted,Transfer Attempted,Communications Team Attempted,Welfare Notes
Wishbone,57230680,Dog,Dog E,11/13/24,181,Yes,In Progress,Yes,"1/7 - available, reduced adoption fee due to age and LOS on 12/27, single dog only
2/4 - was made BMOD due to reactivity and aggressive behaviors towards other dogs. Had dog test with fake dog and he attacked the face/neck and would not release. Placed on meds to see if that helps decrease reactivity. 
2/18 - doing much better on behavior meds, staff able to better redirect when he sees another dog. Went into behavior foster yesterday, doing well. 
3/3 - had a seizure while in foster and was turned away at e-clinic. BW is normal but Doc thinks it may be due to behavior meds, so he is no longer on them. Reactivity is an issue. Will try sertraline and clonidine combo.
3/18 - available for adoption, is doing well on behavior meds. Charged fence while in play yard and staff was then able to redirect.  Place on Bissell Board, will feature again, waive adoption fee. 
4/1 - no change, behavior team is concerned with long term stay and barriers with adoption and overall candidacy, plan? Will try foster again.

5/13 - likely had another seizure and was on doc-hold, cleared and now available again. Trying to transfer to Lollypop"
NINA,58089142,Cat,Condo Rooms,3/27/25,110,,,,"6/10/25 - Considering transfer to FCF due to behavior concerns

6/24/25 - Moved into condo room to socialize.  Sue working on socializing. Will reach out to FCF in 2 weeks if no improvement.

7/1/25 - Showing improvement.  Not hiding as much.  Potentially on the radio next week.

7/8 - Behavior stagnant. Considering FCF at this time. 

7/15 - Behavior improving per Cary."
SNORKEL,57853586,Cat,If The Fur Fits,2/14/25,151,,,,"7/1 - Waiting for re-check.  ITFF Medical

7/15 - Still waiting for re-check"
OREO,58048215,Cat,If The Fur Fits,3/21/25,116,,,,"7/1 - Waiting for re-check.  ITFF  Medical.

7/15 - Medical scheduled in Oct."
JENNIFER,58074487,Cat,If The Fur Fits,3/25/25,112,,,,"7/1 - Waiting for re-check.  ITFF Medical

7/15 - Waiting for Dental ITFF Medical."
WESLEY,58216827,Cat,If The Fur Fits,3/31/25,106,,,,"7/1 - Waiting for re-check.  ITFF Medical

7/15 - Waiting for dental."
Beaker,58284280,Dog,Foster Home,4/10/25,96,Yes,,,"6/10 - Currently in foster home and in training.  No improvements in behavior.  Discussing potential euth at this time. 

6/24 - Behavior improving in foster.  Working to see how he does with new people.  Still reactive.

7/1 - Continuing to improve, but not ready for adoption yet.

7/8 - Continuing to improve.  Planning to adopt out from foster BTS instead of bringing back to shelter.

7/15 - Going to evaluate Beaker.  Potentially 7/16.  If okay will become available from foster home."
BENTLEY,58017236,Dog,If The Fur Fits,3/14/25,123,,,,"7/1/25 - Will be cleared soon.

7/8/25 - Brittany looking into medical status

7/15 - Has last appt 7/18.  Should finalize then."
MUPPET,58304783,Dog,If The Fur Fits,4/15/25,91,,,,"7/1 - ITFF Medical - Waiting for Dental

7/15 - No change"
Coco,58387440,Dog,If The Fur Fits,5/6/25,70,,,,"7/1 - ITFF Medical - Waiting for Dental

7/15 - No change"
,58571047,Rodent,Foster Home,5/24/25,52,Yes,,,"7/1 - Need to wait 72 days from date separated from intact male to confirm that this animal is not pregnant.

7/15 - No Change"
,57946635,Rodent,Humane Education Office,3/6/25,131,,,,"7/1 - Needs neuter.  Humane Ed is keeping

7/15 - No Change"
